"","Chronology","Type","Macroregion","Weight","Common.Wheat","Emmer","Einkorn","Oats","Barley","Rye","Proso.millet","Foxtail.millet","Sorghum","Unsp..cereals"
"54","R","Urban","Southern Italy",1,1,0,0,0,1,1,0,0,0,1
"55","R","Urban","Southern Italy",1,0,0,0,0,0,0,0,0,0,1
"56","R","Urban","Southern Italy",1,0,0,0,0,1,0,0,0,0,1
"57","R","Urban","Southern Italy",1,0,0,0,0,0,0,0,0,0,1
"58","R","Urban","Southern Italy",1,0,1,0,0,0,0,0,0,0,1
"59","R","Urban","Northern Italy",0.25,0,0,0,0,0,0,0,0,0,0
"60","R","Rural","Southern Italy",0.5,1,0,0,0,1,0,0,0,0,1
"61","R","Necropolis","Northern Italy",1,0,0,0,0,1,0,0,0,0,1
"62","R","Rural","Northern Italy",0.2,1,0,0,0,1,0,0,0,0,1
"63","R","Rural","Central Italy",1,0,1,0,0,1,0,0,0,0,1
"64","R","Rural","Central Italy",0.5,1,0,0,0,0,0,0,0,0,1
"65","R","Urban","Southern Italy",1,1,1,1,1,1,0,1,1,1,1
"66","R","Urban","Northern Italy",0.5,0,1,0,0,0,0,1,1,0,1
"67","R","Urban","Northern Italy",1,1,0,1,1,0,1,0,0,0,1
"68","R","Urban","Northern Italy",0.5,0,1,1,0,0,0,0,1,0,1
"69","R","Rural","Northern Italy",0.5,1,1,1,0,1,0,0,1,0,1
"70","R","Rural","Southern Italy",1,1,1,0,0,1,0,0,0,0,1
"71","R","Rural","Southern Italy",1,1,0,1,0,1,0,0,0,0,1
"72","R","Rural","Southern Italy",0.5,1,0,1,1,1,0,0,0,0,1
"73","R","Urban","Northern Italy",0.5,0,0,0,0,1,1,0,0,0,1
