Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Miranduolo, manor phase;Frankish;Toscana;Central Italy;EMA;Rural;Hill;0.5000;9;10;14124;147;361;116;1278;1798;306;219;2;1432;2;3;4498;4;18;31113;;36;1;;19;;;33;;4;;;;;;;;;;;;;;
Miranduolo, castle phase;Medieval;Toscana;Central Italy;EMA;Castle;Hill;0.5000;10;11;11805;485;1824;292;3148;9811;933;193;;5578;;4;1973;110;33;153;22;96;;;10;4;;34;;3;;;;;;;;;13;;;;;
Montegibbio, Period 2, Phases II-III-IV;Late Roman;Toscana;Central Italy;EMA;Rural site, villa;Hill;0.3333;4;6;7;1;;;3;;;;;4;;;;;;;;5;3;;;;;16;;;;;;;;;;;;;;;;
Colle Castellano, Phase 3-4;Medieval;Molise;Southern Italy;EMA;Urban;Hill;0.5000;10;11;20;;;;24;;231;;;55;;;1;;;3;;14;;;;;2;2;;;;;;;;;;;;;;;;
Peveragno, loc. Castelvecchio;Early Medieval;Piemonte;Northern Italy;EMA;Castrum;Mountain;0.3333;3;6;82;9;;1;4;197;;1;;15;;5;10;2;9;;;13;5;;;;;;;;;;;;;;;;;1;;;;
San Vincenzo al Volturno, kitchen area;Early Medieval;Molise;Southern Italy;EMA;Religious, monastery;Hill;1.0000;9;9;40;50;;;35;;;;;;40;;;;300;;;;320;50;;;;1428;;;;;20;;;;;;;;;;;
Supersano, loc. Scorpo;Byzantine;Puglia;Southern Italy;EMA;Rural;Plain;0.5000;7;8;3;;;2;3;;;;;;;;;;;;;;;;;;2;1204;;;;2;1;;;1;;;;37;;;;
Apigliano, 9th-10th c., pits;Byzantine;Puglia;Southern Italy;EMA;Rural;Plain;0.5000;9;10;1;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apigliano, 10th-11th c., pits;Byzantine;Puglia;Southern Italy;EMA;Rural;Plain;0.5000;10;11;2;;;;1;;;;;;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Faragola, granary A7;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;0.5000;7;8;29;2;;37;288;;;;;110;;16;;;214;;;2;;;;;;;;;;;;;;;;;;;;;;
Faragola, granary A8;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;0.5000;7;8;1140;22;;;45;;;;;15;;;;;2;;1;;;;;;;;;;;;1;;;;;;;;;;;
Ferrara, Corso Porto Reno, 950-1050;Medieval;Emilia-Romagna;Northern Italy;EMA;Urban;Plain;0.5000;10;11;1;1;;1;1;;1;1;1;;1;1;;;1;;;;;1;1;;1;;;1;;1;;1;1;1;1;1;1;1;1;1;1;
Sant'Agata Bolognese, 10th-11th c.;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Castrum;Plain;0.5000;10;11;253;109;112;5;54;2;236;2;21;;2;7;193;;;23;;;;1;;;262;29;;1;;1;;;1;3;;;;;;;;
S. Michele di Trino, Phase IV, 10th-11th c.;Medieval;Piemonte;Northern Italy;EMA;Urban;Plain;0.5000;10;11;89;;;;297;883;1;;;533;3;1;108;;6;5;;;;;;;;;;;;;;;;;;;;;;;;
S. Michele di Trino, Phase IVb, 9th-10th c.;Frankish;Piemonte;Northern Italy;EMA;Urban;Plain;0.5000;9;10;227;;;81;36;783;1826;;;131;;8;19;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Villa Magna, Byzantine phase, 6th-7th c.;Byzantine;Lazio;Central Italy;EMA;Rural site, villa;Hill;0.5000;6;7;2;;;;9;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;
San Bartolomeo de Castelàz;Frankish;Lombardia;Northern Italy;EMA;Rural;Mountain;0.5000;9;10;1277;31;1;61;3419;115;74;36;;1242;;16;111;;;4;2;52;381;26;682;;;;;;;;;2;;;;;;;;4;;
Chiari, piazza Zanardelli;Frankish;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;8;9;3;1;1;1;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collegno;Early Medieval;Piemonte;Northern Italy;EMA;Rural;Plain;0.5000;6;7;1;;;;;;1;;;6;;;;;2;;;;2;;14;;;21;;;;;;;;;;;;;;;;
Parma, Piazza Garibaldi/via Cavestro;Medieval;Emilia-Romagna;Northern Italy;Ma;Urban;Plain;0.5000;10;11;218;40;115;;39;54;37;;;9;;3;20;;;;;;13;5;;236;8978;26495;87;136;12;210;;;114;9;338;1107;;4;201;724;519;
Nogara, Mulino di Sotto;Medieval;Veneto;Northern Italy;Ma;Rural;Plain;0.3333;9;11;69;8;28;;12;34;21;7;24;107;9;1;9;9;;4;;;21;11;1;7;;1453;;16;;6;;;;1;1;;17;3;11;19;;
Finalborgo;Medieval;Liguria;Northern Italy;Ma;Urban;Coast;0.5000;10;11;1;;;1;;;;;;;;;;;;;;;1;1;;;170;19;;;;2;;;;;;;;23;;1;;
Sarzana, Pieve di S. Andrea;Medieval;Liguria;Northern Italy;Ma;Religious;Plain;1.0000;11;11;;;;;5;;;;3;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
