Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;x;y;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Pompei, VI, 1, 17, Bar of Acisculus, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.482136829949123;40.75134252657623;;;;;;;10;;;2;2;;;;;;;;;;;;15;24;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 17, Bar of Acisculus, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.482136829949123;40.75134252657623;1;;;;;;;1;;;;;1;1;;;;;;;;;1;3;;;;;9;;;;;;;;;;;
Pompei, VI, 1, 18, Bar of Phoebus, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.482194036642367;40.75130282323731;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;;;;;3;;;;;
Pompei, VI, 1, 13, Shrine, 1st c. BCE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;-1;-1;14.481925455394308;40.75146352986885;25;10;;;4;;39;1;;53;18;;3;7;10;;;;4;;;4;508;48;3;;;;69;;;;;;;;;;;
Pompei, VI, 1, 13, Shrine, 1st c. CE;Roman;Campania;Southern Italy;R;Religious;Coast;1.0000;1;1;14.481925455394308;40.75146352986885;2;2;;;3;;23;2;;66;3;1;5;15;19;;;;4;4;;;70;51;1;2;;;91;;;;;;;;;;;
Pompei, VI, 1, 14, Soap factory, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.482013218627142;40.75141864656914;;;;;1;;;3;;9;2;1;;;12;;;42;2;4;;;791;37;;10;;;35;;;;;;;;;;;
Pompei, VI, 1, 14, Soap factory, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.482013218627142;40.75141864656914;;;;;;;1;;;4;;;1;;1;;;;;1;;;;37;;;;;7;;;;;;1;;;;;
Pompei, VI, 1, 7, House of the Vestals, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.481751497397411;40.751680118766004;;;;;6;;2;;;4;3;;2;;6;;;;3;3;;;13;22;1;;;;6;;;;;;;;;;;
Pompei, VI, 1, 7, House of the Vestals, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.481751497397411;40.751680118766004;1;;;;4;;3;;;7;6;1;;5;11;;;;10;4;;;1705;59;1;7;;;15;;1;;;;;;;;;
Pompei, VI, 1, 10, House of the Surgeon, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.481851060152303;40.75159883733661;;1;1;;;;2;;;4;2;;;1;5;;;;1;;;;2;6;;;;;8;;;;;;;;;;;
