Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;x;y;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Casazza, Bergamo;Roman;Lombardia;Northern Italy;R;Rural;Mountain;0.2000;1;5;9.907844655639213;45.7494633116574;1;;;;116;;;;;2;;;7;;;;;1;22;4;;;;2;;;;;;;;;;;1;;;;;
Casazza, Bergamo;Roman;Lombardia;Northern Italy;LR;Rural;Mountain;0.2000;1;5;9.907844655639213;45.7494633116574;1;;;;116;;;;;2;;;7;;;;;1;22;4;;;;2;;;;;;;;;;;1;;;;;
Montegibbio, Period 2, Phases II-III-IV;Late Roman;Emilia-Romagna;Northern Italy;LR;Rural site, villa;Hill;0.3333;4;6;10.785917381199157;44.51343035419405;7;1;;;3;;;;;4;;;;;;;;5;3;;;;;16;;;;;;;;;;;;;;;;
Montegibbio, Period 2, Phases II-III-IV;Late Roman;Emilia-Romagna;Northern Italy;EMA;Rural site, villa;Hill;0.3333;4;6;10.785917381199157;44.51343035419405;7;1;;;3;;;;;4;;;;;;;;5;3;;;;;16;;;;;;;;;;;;;;;;
Cremona, piazza Marconi, wastepit;Roman;Lombardia;Northern Italy;R;Urban;Plain;0.5000;-2;-1;10.022754626427878;45.13159072094098;;3;;;;;18;16;;3;;;;;;;;;1;1;;;2608;1147;;;;5;6;1;;1526;12;;9;;2;416;3;
Cremona, piazza Marconi, Ninfeo domus;Roman;Lombardia;Northern Italy;R;Urban;Plain;1.0000;1;1;10.022754626427878;45.13159072094098;1682;;2;1;;1;;;;22;6;10;;162;;9;;;3;;;;;;;;;;;;;;;;;;;;;25
Cremona, piazza Marconi, bone working craft area;Roman;Lombardia;Northern Italy;R;Urban;Plain;0.5000;-2;-1;10.022754626427878;45.13159072094098;;9;3;;;;;2;;156;;;;;;;;;13;11;;1;2;5;;;;;5;;;1;;;;;;1;;
Vittorio Veneto, loc. San Rocco, period I;Roman;Veneto;Northern Italy;R;Urban;Mountain;0.5000;-2;-1;12.2882577;45.9763529;2;291;14;;1;;;7;;94;6;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;
Vittorio Veneto, loc. San Rocco, period II;Late Roman;Veneto;Northern Italy;LR;Urban;Mountain;1.0000;5;5;12.2882577;45.9763529;;;1;;;;;;1;16;;;;;;;;;2;;;;;10;;;;;;;;;;;;;;;;
Peveragno, loc. Castelvecchio;Early Medieval;Piemonte;Northern Italy;LR;Castrum;Mountain;0.3333;3;6;7.647035828225136;44.31064156531865;82;9;;1;4;197;;1;;15;;5;10;2;9;;;13;5;;;;;;;;;;;;;;;;;1;;;;
Peveragno, loc. Castelvecchio;Early Medieval;Piemonte;Northern Italy;EMA;Castrum;Mountain;0.3333;3;6;7.647035828225136;44.31064156531865;82;9;;1;4;197;;1;;15;;5;10;2;9;;;13;5;;;;;;;;;;;;;;;;;1;;;;
Modena, Novi Sad - landfill;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;10.92330581318566;44.65137680131194;;;;;1;1;;;;1;;;;;1;;;;4;12;;;115;101;2;44;;1;11;1;;4;;8;;5;;;7;1
Ferrara, Corso Porto Reno, 950-1050;Medieval;Emilia-Romagna;Northern Italy;EMA;Urban;Plain;0.5000;10;11;11.61812414224335;44.83446804629176;1;1;;1;1;;1;1;1;;1;1;;;1;;;;;1;1;;1;;;1;;1;;1;1;1;1;1;1;1;1;1;1;
Ferrara, Corso Porto Reno, 950-1050;Medieval;Emilia-Romagna;Northern Italy;Ma;Urban;Plain;0.5000;10;11;11.61812414224335;44.83446804629176;1;1;;1;1;;1;1;1;;1;1;;;1;;;;;1;1;;1;;;1;;1;;1;1;1;1;1;1;1;1;1;1;
Sant'Agata Bolognese, 10th-11th c.;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Castrum;Plain;0.5000;10;11;11.162317510736269;44.691806682834574;253;109;112;5;54;2;236;2;21;;2;7;193;;;23;;;;1;;;262;29;;1;;1;;;1;3;;;;;;;;
Sant'Agata Bolognese, 10th-11th c.;Early Medieval;Emilia-Romagna;Northern Italy;Ma;Castrum;Plain;0.5000;10;11;11.162317510736269;44.691806682834574;253;109;112;5;54;2;236;2;21;;2;7;193;;;23;;;;1;;;262;29;;1;;1;;;1;3;;;;;;;;
S. Michele di Trino, Phase IV, 10th-11th c.;Medieval;Piemonte;Northern Italy;EMA;Urban;Plain;0.5000;10;11;8.304962373728886;45.19673507552628;89;;;;297;883;1;;;533;3;1;108;;6;5;;;;;;;;;;;;;;;;;;;;;;;;
S. Michele di Trino, Phase IV, 10th-11th c.;Medieval;Piemonte;Northern Italy;Ma;Urban;Plain;0.5000;10;11;8.304962373728886;45.19673507552628;89;;;;297;883;1;;;533;3;1;108;;6;5;;;;;;;;;;;;;;;;;;;;;;;;
S. Michele di Trino, Phase IVb, 9th-10th c.;Frankish;Piemonte;Northern Italy;EMA;Urban;Plain;0.5000;9;10;8.304962373728886;45.19673507552628;227;;;81;36;783;1826;;;131;;8;19;;;;;1;;;;;;;;;;;;;;;;;;;;;;
S. Michele di Trino, Phase IV-V, 11th-12th c.;Medieval;Piemonte;Northern Italy;Ma;Urban;Plain;0.5000;11;12;8.304962373728886;45.19673507552628;17;;;1;25;116;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aquileia, Canale Anfora, 1st-3rd c. CE;Roman;Friuli-Venezia Giulia;Northern Italy;R;Urban;Coast;0.3333;1;3;13.3346;45.76475;2;1;;;3;;17;20;;2565;;;;;;;;;205;17;22;9;760;208;6;4;2;1;21;1;;;;6;40;;6;15;2;
Aquileia, Canale Anfora, 1st-3rd c. CE;Roman;Friuli-Venezia Giulia;Northern Italy;LR;Urban;Coast;0.3333;1;3;13.3346;45.76475;2;1;;;3;;17;20;;2565;;;;;;;;;205;17;22;9;760;208;6;4;2;1;21;1;;;;6;40;;6;15;2;
Aquileia, Canale Anfora, 3rd-4th c. CE;Late Roman;Friuli-Venezia Giulia;Northern Italy;LR;Urban;Coast;0.5000;3;4;13.3346;45.76475;;;;;;;;2;;;;;;;;;;;22;5;5;5;85;25;;;;;4;;;;;;1;;;;;
Calvatone-Bedriacum, 1st c. BCE - 1st c. CE;Roman;Lombardia;Northern Italy;R;Urban;Plain;1.0000;1;1;10.44266062805678;45.128482674895764;292;6;1;;1086;;2;;;15;94;;14;;5;;;;;;;;;;;;;;;;;;;;;;;;;
Aquileia, Canale Anfora, 3rd-4th c. CE;Late Roman;Friuli-Venezia Giulia;Northern Italy;LR;Urban;Coast;0.5000;3;4;13.3346;45.76475;;;;;;;;2;;;;;;;;;;;22;5;5;5;85;25;;;;;4;;;;;;1;;;;;
San Bartolomeo de Castelàz;Frankish;Lombardia;Northern Italy;EMA;Rural;Mountain;0.5000;9;10;10.355106611391221;46.391948698513126;1277;31;1;61;3419;115;74;36;;1242;;16;111;;;4;2;52;381;26;682;;;;;;;;;2;;;;;;;;4;;
Chiari, piazza Zanardelli;Frankish;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;8;9;9.928872599867887;45.53666701893512;3;1;1;1;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Collegno;Early Medieval;Piemonte;Northern Italy;EMA;Rural;Plain;0.5000;6;7;7.574410172822639;45.085015972528915;1;;;;;;1;;;6;;;;;2;;;;2;;14;;;21;;;;;;;;;;;;;;;;
San Candido, Cantiere Böden;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;R;Rural;Mountain;1.0000;1;1;12.287541123200938;46.73358747070309;;15;3;3;4;;;;;32;;;;;;;;3;;8;;;;;;;;;;;;;;;;;;;;
San Candido, Casa dell'Organista, Roman age;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;R;Rural;Mountain;0.3333;1;3;12.282496938200017;46.73325290821929;6;10;;9;23;17;9;;;90;;1;9;;;;;1;;;;;;;;;;;;;;;;;;;;1;;
San Candido, Casa dell'Organista, Roman age;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Rural;Mountain;0.3333;1;3;12.282496938200017;46.73325290821929;6;10;;9;23;17;9;;;90;;1;9;;;;;1;;;;;;;;;;;;;;;;;;;;1;;
